RUM1,RUM2,RUM3,RUM4,RUM5,RUM6,RUM7,RUM8,RUM9,RUM10,RUM11,RUM12,MARS3_1,MARS4_1,MARS5_1,MARS10_1,MARS13_1,MESI1_1,MESI2_1,MESI3_1,MESI4_1,MESI5_1,MESI6_1,MESI7_1,TAS1_1,TAS2_1,TAS3_1,TAS4_1,TAS5_1,TAS6_1,TAS7_1,TAS8_1,TAS9_1,TAS10_1,TAS11_1,TAS12_1,TAS13_1,TAS14_1,TAS15_1,TAS16_1,TAS17_1,TAS18_1,TAS19_1,TAS20_1,DERS1_1,DERS2_1,DERS3_1,DERS4_1,DERS5_1,DERS6_1,DERS7_1,DERS8_1,DERS9_1,DERS10_1,DERS11_1,DERS12_1,DERS13_1,DERS14_1,DERS15_1,DERS16_1,DASS1_1,DASS2_1,DASS3_1,DASS4_1,DASS5_1,DASS6_1,DASS7_1,DASS8_1,DASS9_1,DASS10_1,DASS11_1,DASS12_1,DASS13_1,DASS14_1,DASS15_1,DASS16_1,DASS17_1,DASS18_1,DASS19_1,DASS20_1,DASS21_1,Age,Gender,Ethnicity,EthnicityOther,MusicExperience1,Yearsplayed,HoursListened,Genre,GenreOther,SadSong,SadSongWhy,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,,-99,-99,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,3,4,2,4,3,3,3,4,2,3,3,2,2,3,4,4,4,2,3,3,4,3,3,4,3,4,3,2,4,2,4,3,2,3,2,4,4,4,2,3,4,3,2,4,3,4,3,4,2,3,4,4,3,4,2,4,3,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,2,4,11,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,5,5,1,5,4,1,2,5,5,2,3,4,3,5,5,2,4,3,4,4,3,3,4,5,2,4,2,3,2,4,3,4,3,4,2,2,2,5,2,5,2,4,3,4,2,4,4,5,4,2,4,3,2,4,5,4,4,2,3,2,1,3,2,1,2,3,3,1,1,1,0,1,2,3,1,2,1,2,5,0,0,,0,,5,15,World,2814 - Sorrow,It validates my emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,4,2,4,4,2,2,2,2,3,4,4,2,3,2,5,4,2,5,3,4,2,4,1,4,3,2,1,1,2,5,1,1,2,1,1,2,1,1,4,4,2,2,4,1,2,4,4,1,1,2,1,2,1,4,4,4,1,0,0,0,3,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,5,1,0,,0,,3,6,,A better place a better time - street light manifesto,It helps me remembwr that even though i migjt be sad in that moment of time it doesnt last forever.,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,"A Better Place, a Better Time",4LqxQzP3F0EXf00M58URik,Streetlight Manifesto,Everything Goes Numb,https://i.scdn.co/image/dbb93a2dd624f3c88131d5759a139361b4357f78,2018-12-29T18:05:07Z,46,https://p.scdn.co/mp3-preview/4c0f22d68469ad6f59a96f1338c67638de8bb84a?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/4LqxQzP3F0EXf00M58URik,0.532,0.864,G,-5.467,major,0.289,0.0747,0,0.106,0.441,139.334,388387,4,G major
4,4,4,5,5,3,4,4,1,2,4,4,4,3,4,2,3,4,4,3,4,4,4,4,2,2,2,4,4,4,3,4,3,5,2,2,2,2,1,1,1,4,4,4,4,4,4,1,1,4,3,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,6,1,0,,1,3,2,11,,A Gift Of A Thistle - Braveheart,Reminds me of dad,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,A Gift Of A Thistle,3Yvi5NkUrSppVwrMHYkB6u,James Horner,Braveheart - Original Motion Picture Soundtrack,https://i.scdn.co/image/913a04807327258f292a2d217aa33d13daef9676,2018-12-29T18:05:21Z,59,NA,https://open.spotify.com/track/3Yvi5NkUrSppVwrMHYkB6u,0.124,0.0116,A,-36.061,minor,0.0408,0.92,0.871,0.0938,0.0392,80.655,97867,5,A minor
2,4,2,5,4,2,4,4,3,2,5,5,2,2,3,1,2,5,5,5,1,4,3,5,4,5,1,1,4,4,2,3,4,3,4,4,3,2,3,1,5,5,3,1,4,3,5,2,5,5,5,2,2,4,4,4,2,4,5,5,2,1,1,0,3,0,0,1,1,0,1,3,1,0,1,2,1,0,0,1,0,1,1,0,,1,2,7,6,,A Supplementary Story: You Never Walk Alone - BTS,the music is relaxing and the lyrics are positive,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,A Supplementary Story: You Never Walk Alone,0rwNiysHvEWZWendzWyadr,BTS,You Never Walk Alone,https://i.scdn.co/image/2ee3b50b18c0722c36e371bac89ce0f917cd3d96,2018-12-29T17:18:54Z,59,https://p.scdn.co/mp3-preview/5b8263e2055076abd074a0f44350f8e048962e20?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/0rwNiysHvEWZWendzWyadr,0.695,0.903,G#,-4.788,major,0.152,0.00596,0,0.0668,0.59,127.99,156061,4,G# major
2,2,2,4,2,4,2,2,4,2,2,2,2,1,2,1,1,4,4,4,4,4,4,4,2,2,2,4,2,3,2,2,2,4,2,2,2,2,2,2,2,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,,0,,4,11,,adele,lyrics are meaningful and relatable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,4,3,1,4,4,2,2,4,4,3,2,2,2,2,4,5,4,4,4,4,4,2,4,3,2,4,2,2,2,4,4,4,3,3,2,3,4,4,2,3,4,2,2,4,3,2,2,4,2,2,2,2,2,4,4,4,4,1,1,0,1,1,2,2,1,1,1,0,1,0,0,1,1,0,2,2,0,0,6,1,0,,0,,3,11,,Adele,Suits the mood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,5,4,2,4,5,2,2,4,4,3,1,2,1,1,4,5,5,3,4,2,4,4,2,4,3,4,3,4,1,2,4,3,1,4,2,1,1,5,4,4,2,4,4,4,2,2,3,4,4,1,4,2,2,4,3,1,4,3,0,0,0,1,0,1,0,1,0,2,2,1,3,1,0,0,1,0,0,0,7,1,3,Black,1,2,2,12,,Adele,Chasing Pavements,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Chasing Pavements,2OuNgtXKeCSORKqdl0MxKk,Adele,19,https://i.scdn.co/image/e41dab5ebef48cb4958971b5714880f95e6575f4,2018-12-29T17:32:08Z,66,https://p.scdn.co/mp3-preview/01f478160da6ab365f649f3445e6a72f0bb51e01?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/2OuNgtXKeCSORKqdl0MxKk,0.614,0.471,F,-6.087,minor,0.0256,0.318,0,0.11,0.32,80.024,210507,4,F minor
3,3,3,5,3,1,5,5,2,2,3,5,2,2,1,1,5,3,4,4,4,4,4,4,1,1,1,1,3,3,3,3,3,4,4,5,5,1,4,4,5,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,3,4,3,0,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,1,2,3,12,,adele,memories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
